usindex,examiner_art_unit,uspc_class,rejection,allowance
25197,2407,112,0.5489194473442125,0.4510805526557875
4002800,1796,528,0.7091920337166967,0.2908079662833033
8484974,2431,726,0.5008498660654558,0.4991501339345442
3594807,1755,051,0.6375067099885443,0.36249329001145564
1735484,3503,242,0.7393108397507759,0.2606891602492241
2602324,3764,482,0.6506066904499961,0.34939330955000386
393037,1301,156,0.5536700783302622,0.4463299216697378
4750945,2831,324,0.4865354135479131,0.5134645864520869
7802617,3749,454,0.6799950384370868,0.32000496156291325
1166492,2101,999,0.5045723695039501,0.4954276304960498
8096664,2191,717,0.41513929269367944,0.5848607073063206
6185006,3777,600,0.5471397418627173,0.45286025813728276
3267789,3622,705,0.8609358359358585,0.13906416406414152
5817124,2817,333,0.41119273850525184,0.5888072614947482
3241548,2124,708,0.4438706151289824,0.5561293848710176
5484719,2893,257,0.3459087466757075,0.6540912533242925
890158,2104,361,0.6258521095624379,0.3741478904375622
3486609,1654,530,0.6421476810059301,0.35785231899406994
2621236,2664,370,0.37865195106993477,0.6213480489300652
8718385,3742,219,0.5181458926542073,0.4818541073457927
9726162,3785,601,0.7378709109331694,0.2621290890668306
1164943,2508,343,0.6506780389050522,0.34932196109494784
7083529,1717,118,0.5194025499685864,0.4805974500314136
7610142,1625,514,0.6366125238913567,0.36338747610864336
6546521,2454,709,0.3819727143609175,0.6180272856390825
7166376,2833,368,0.5047870623867838,0.49521293761321616
15090058,2617,455,0.6215104264794653,0.3784895735205347
3292870,2614,455,0.59328814243542,0.40671185756457995
4809187,3671,404,0.519577602830191,0.4804223971698089
4875297,2191,717,0.41513929269367944,0.5848607073063206
7972087,2913,D07,0.02371970605805962,0.9762802939419404
2326263,1744,015,0.6402006644465611,0.3597993355534389
3336652,2827,438,0.4918233179495278,0.5081766820504722
5097288,3616,280,0.5174963155233266,0.48250368447667336
4624523,2644,370,0.44259948385125714,0.5574005161487429
5525207,2679,345,0.4772550848540914,0.5227449151459086
1496021,2901,D10,0.007618465153511167,0.9923815348464888
7230814,3742,373,0.5684095772124264,0.43159042278757365
8841687,3715,434,0.7090142426893522,0.2909857573106478
6553402,3725,283,0.6752978666934031,0.32470213330659686
2334837,2836,361,0.44995878897564434,0.5500412110243557
2024567,2771,707,0.33620480469185166,0.6637951953081483
7240233,2897,438,0.32950888494946906,0.6704911150505309
9636622,3671,404,0.519577602830191,0.4804223971698089
1314553,2203,252,0.5029846169267118,0.4970153830732882
1140350,3501,285,0.579353763859969,0.42064623614003105
